market,indicator,signal,direction,pattern_name,count,win_rate,avg_return
HSI,MACD,MACD 金叉 (多頭區),bullish,Inverse H&S,108,0.26851851851851855,0.0012162945388982578
HSI,MACD,MACD 突破 0 軸,bullish,無形態,264,0.26136363636363635,0.0050144808123728
HSI,MACD,MACD 金叉 (多頭區),bullish,Support,21,0.23809523809523808,-0.025490167342980798
HSI,MACD,MACD 金叉 (空頭區),bullish,Morning Star,30,0.23333333333333334,-0.008044493395357961
HSI,MACD,MACD 金叉 (多頭區),bullish,Bullish Engulfing,13,0.23076923076923078,-0.016978824231308167
HSI,MACD,MACD 突破 0 軸,bullish,Morning Star,16,0.1875,-0.002251470186381513
HSI,MACD,MACD 金叉 (多頭區),bullish,Hammer,14,0.14285714285714285,0.0011133826310169253
HSI,RSI,RSI 超買區域 (70),bearish,Bearish Harami,47,0.40425531914893614,0.02033510832699956
HSI,RSI,RSI 超買區域 (70),bearish,Shooting Star,140,0.34285714285714286,0.0031623767728765264
HSI,RSI,RSI 超買區域 (70),bearish,無形態,290,0.30344827586206896,0.007650013882173708
HSI,RSI,RSI 超買區域 (70),bearish,Bearish Engulfing,53,0.2830188679245283,-0.012783438572767373
HSI,RSI,RSI 超買區域 (70),bearish,Double Top,17,0.23529411764705882,-0.007101420329703486
HSI,RSI,RSI 超買區域 (70),bearish,Evening Star,17,0.17647058823529413,-0.012983083717239134
HSI,RSI,RSI 超買區域 (70),bearish,Head & Shoulders,24,0.16666666666666666,0.0005977857546072876
HSI,RSI,RSI 超買區域 (70),bearish,Resistance,41,0.14634146341463414,-0.036225880906747165
HSI,RSI,RSI 超賣區域 (30),bullish,Support,33,0.7575757575757576,0.06404293776744216
HSI,RSI,RSI 超賣區域 (30),bullish,Morning Star,14,0.6428571428571429,0.029021018053661148
HSI,RSI,RSI 超賣區域 (30),bullish,Double Bottom,33,0.48484848484848486,0.02358905084892674
HSI,RSI,RSI 超賣區域 (30),bullish,Inverse H&S,46,0.43478260869565216,0.01957162837332919
HSI,RSI,RSI 超賣區域 (30),bullish,無形態,92,0.3695652173913043,0.008579873499593252
HSI,RSI,RSI 超賣區域 (30),bullish,Hammer,12,0.3333333333333333,0.010304330095043604
HSI,RSI,RSI 超賣區域 (30),bullish,Bullish Harami,15,0.26666666666666666,-0.014235624322014261
S&P 500,BB,BB 突破上軌 (超買),bearish,Bear Flag,17,0.7058823529411765,0.021955333605065682
S&P 500,BB,BB 突破上軌 (超買),bearish,無形態,2459,0.4261895079300529,0.014405731257777459
S&P 500,BB,BB 突破上軌 (超買),bearish,Bearish Harami,834,0.3333333333333333,0.005769208788847939
S&P 500,BB,BB 突破上軌 (超買),bearish,Shooting Star,3704,0.31101511879049676,0.003578970470346164
S&P 500,BB,BB 突破上軌 (超買),bearish,Bearish Engulfing,1372,0.27040816326530615,0.00031640665007111085
S&P 500,BB,BB 突破上軌 (超買),bearish,Evening Star,540,0.25,-0.005237968576555232
S&P 500,BB,BB 突破上軌 (超買),bearish,Double Top,574,0.15505226480836237,-0.005922518197704749
S&P 500,BB,BB 突破上軌 (超買),bearish,Head & Shoulders,791,0.13653603034134007,-0.01672986324871783
S&P 500,BB,BB 突破上軌 (超買),bearish,Resistance,311,0.1157556270096463,-0.02895211210515789
S&P 500,BB,BB 跌破下軌 (超賣),bullish,Support,774,0.6847545219638242,0.04394222634768275
S&P 500,BB,BB 跌破下軌 (超賣),bullish,Bullish Engulfing,596,0.4899328859060403,0.015397001919401021
S&P 500,BB,BB 跌破下軌 (超賣),bullish,Morning Star,453,0.4878587196467991,0.018939739413608558
S&P 500,BB,BB 跌破下軌 (超賣),bullish,Inverse H&S,1228,0.4543973941368078,0.01644439688752652
S&P 500,BB,BB 跌破下軌 (超賣),bullish,Double Bottom,1176,0.3630952380952381,0.009929495979991388
S&P 500,BB,BB 跌破下軌 (超賣),bullish,Hammer,290,0.32068965517241377,0.0005081642222893102
S&P 500,BB,BB 跌破下軌 (超賣),bullish,Bullish Harami,951,0.29547844374342797,-0.002446919006484346
S&P 500,BB,BB 跌破下軌 (超賣),bullish,無形態,3009,0.260551678298438,-0.006465236658459795
S&P 500,EMA,EMA 死亡交叉 (20 下穿 50),bearish,Shooting Star,40,0.45,0.013168243181420871
S&P 500,EMA,EMA 空頭排列 (20<50<200),bearish,無形態,7728,0.36801242236024845,0.007101956909690164
S&P 500,EMA,EMA 死亡交叉 (20 下穿 50),bearish,Evening Star,25,0.36,0.011064879860431334
S&P 500,EMA,EMA 空頭排列 (20<50<200),bearish,Bearish Harami,1763,0.3533749290981282,0.008417373512928324
S&P 500,EMA,EMA 空頭排列 (20<50<200),bearish,Resistance,1094,0.3473491773308958,0.009742041868569628
S&P 500,EMA,EMA 死亡交叉 (20 下穿 50),bearish,Bearish Harami,63,0.3333333333333333,0.01580154412325801
S&P 500,EMA,EMA 死亡交叉 (20 下穿 50),bearish,無形態,430,0.3209302325581395,0.00032042657383359437
S&P 500,EMA,EMA 空頭排列 (20<50<200),bearish,Shooting Star,3542,0.2981366459627329,0.0023602000226779643
S&P 500,EMA,EMA 死亡交叉 (20 下穿 50),bearish,Bearish Engulfing,51,0.29411764705882354,0.006715855537228979
S&P 500,EMA,EMA 空頭排列 (20<50<200),bearish,Bearish Engulfing,2460,0.29227642276422766,0.0008529743234890467
S&P 500,EMA,EMA 死亡交叉 (20 下穿 50),bearish,Head & Shoulders,99,0.2727272727272727,-0.0030906064618880344
S&P 500,EMA,EMA 空頭排列 (20<50<200),bearish,Evening Star,1117,0.26499552372426144,-0.003200243410175844
S&P 500,EMA,EMA 空頭排列 (20<50<200),bearish,Bear Flag,118,0.2627118644067797,-0.00991892045203881
S&P 500,EMA,EMA 空頭排列 (20<50<200),bearish,Descending Triangle,36,0.2222222222222222,-0.011601499955873791
S&P 500,EMA,EMA 空頭排列 (20<50<200),bearish,Head & Shoulders,3155,0.20158478605388272,-0.0076278069195397724
S&P 500,EMA,EMA 空頭排列 (20<50<200),bearish,Double Top,3343,0.18665868979958122,-0.015502482402599441
S&P 500,EMA,EMA 死亡交叉 (20 下穿 50),bearish,Double Top,113,0.168141592920354,-0.013355063262661702
S&P 500,EMA,EMA 空頭排列 (20<50<200),bearish,MA Bearish Alignment,154,0.012987012987012988,-0.014968654946161524
S&P 500,EMA,EMA 多頭排列 (20>50>200),bullish,Bull Flag,240,0.6833333333333333,0.05169888825555683
S&P 500,EMA,EMA 多頭排列 (20>50>200),bullish,Double Bottom,6456,0.4354089219330855,0.019774016398975663
S&P 500,EMA,EMA 黃金交叉 (20 上穿 50),bullish,Double Bottom,121,0.39669421487603307,0.01565177184963377
S&P 500,EMA,EMA 多頭排列 (20>50>200),bullish,Morning Star,2430,0.38641975308641974,0.013941007701223076
S&P 500,EMA,EMA 黃金交叉 (20 上穿 50),bullish,Bull Flag,19,0.3684210526315789,0.04700229873068409
S&P 500,EMA,EMA 黃金交叉 (20 上穿 50),bullish,Morning Star,33,0.3333333333333333,0.008342974782443424
S&P 500,EMA,EMA 多頭排列 (20>50>200),bullish,Inverse H&S,6637,0.33057104113304203,0.008709300192405097
S&P 500,EMA,EMA 黃金交叉 (20 上穿 50),bullish,Inverse H&S,80,0.325,0.005922488284861085
S&P 500,EMA,EMA 多頭排列 (20>50>200),bullish,Bullish Engulfing,1997,0.3129694541812719,0.005869609601894904
S&P 500,EMA,EMA 多頭排列 (20>50>200),bullish,Hammer,993,0.28600201409869086,-1.9556374653723976e-05
S&P 500,EMA,EMA 多頭排列 (20>50>200),bullish,無形態,15760,0.26611675126903556,-0.0024889969686727803
S&P 500,EMA,EMA 黃金交叉 (20 上穿 50),bullish,無形態,429,0.24708624708624707,-0.0005270566839300569
S&P 500,EMA,EMA 多頭排列 (20>50>200),bullish,MA Bullish Alignment,163,0.24539877300613497,0.012263598633403792
S&P 500,EMA,EMA 黃金交叉 (20 上穿 50),bullish,Bullish Harami,29,0.2413793103448276,-0.008844334174529888
S&P 500,EMA,EMA 黃金交叉 (20 上穿 50),bullish,Bullish Engulfing,28,0.21428571428571427,-0.005493828138820224
