sector,signal,matched_pattern,has_pattern,volume_confirmed,count,win_rate,avg_return,improvement
Real Estate,EMA 黃金交叉 (20 上穿 50),None,False,True,8,0.125,-0.012627636053812914,-0.07898009950248755
Financials,KDJ 超賣區金叉,Bullish Harami,True,True,6,0.0,-0.03292055931873254,-0.2958579881656805
Utilities,RSI 維持超賣,Support,True,False,7,0.8571428571428571,0.051229088723334974,0.5520581113801453
Utilities,MACD 金叉 (空頭區),Bullish Harami,True,False,7,0.0,-0.004441443485876563,-0.2600732600732601
Utilities,價格跌破 EMA20,Bearish Engulfing,True,True,6,0.16666666666666666,0.010969585390508364,-0.020224387363448476
Utilities,RSI 超賣區域 (30),Morning Star,True,False,6,0.5,0.01476046687385033,0.20857142857142857
Utilities,MACD 跌破 0 軸,Bearish Harami,True,False,10,0.3,0.0052752416764790516,0.11411764705882352
Utilities,BB 突破上軌 (超買),Bearish Engulfing,True,True,10,0.6,0.016301885312491708,0.4209764918625678
Utilities,BB 突破上軌 (超買),Resistance,True,False,5,0.4,0.0324114452486803,0.22097649186256785
Real Estate,BB 跌破下軌 (超賣),Bullish Engulfing,True,False,18,0.5,0.026351826654447207,0.24445617740232312
Real Estate,RSI 超買區域 (70),Evening Star,True,False,16,0.4375,0.01632269466605476,0.2598938223938224
Real Estate,RSI 超買區域 (70),Bearish Engulfing,True,False,7,0.42857142857142855,0.00879089112893527,0.2509652509652509
Real Estate,KDJ 超買區死叉,Bearish Engulfing,True,False,14,0.21428571428571427,-0.00011379457237697557,0.007936507936507936
Real Estate,MACD 死叉 (空頭區),Bearish Harami,True,False,15,0.26666666666666666,-0.007754380961289063,0.04131455399061032
Real Estate,價格跌破 EMA20,Bearish Harami,True,False,108,0.17592592592592593,-0.010507821266492733,-0.04967837129878311
Real Estate,BB 突破上軌 (超買),Bearish Engulfing,True,True,6,0.3333333333333333,0.01592790492188167,0.10541621228644127
Information Technology,KDJ 超賣區金叉,Bullish Engulfing,True,False,22,0.3181818181818182,0.01178155582929118,0.024768644529123585
Materials,MACD 死叉 (空頭區),Evening Star,True,False,5,0.4,0.01905434169225768,0.13755656108597286
Materials,KDJ 超賣區金叉,Morning Star,True,False,12,0.5833333333333334,0.014722656705425845,0.2770270270270271
Materials,KDJ 超買區死叉,Bearish Harami,True,False,7,0.2857142857142857,0.0015381559188041725,0.12868949232585594
Materials,價格跌破 EMA20,Bearish Engulfing,True,True,5,0.2,-0.040365644847058416,-0.09672897196261682
Utilities,MACD 金叉 (空頭區),Bullish Engulfing,True,False,9,0.0,-0.03146188464891129,-0.2600732600732601
Utilities,RSI 超買區域 (70),Evening Star,True,False,11,0.36363636363636365,0.019130750239253237,0.16484118291347208
Utilities,MACD 金叉 (空頭區),Hammer,True,False,6,0.0,-0.02629607425043436,-0.2600732600732601
