pattern,pattern_dir,sector,count,wins,avg_ret,win_rate,combination,description,market
Bear Flag,bearish,Unknown,1174,282,0.00975403540265066,0.2402044293015332,A+B,形態+指標,HSI
Bear Flag,bearish,Unknown,1174,282,0.00975403540265066,0.2402044293015332,A+B+D,形態+指標+Sector,HSI
Bearish Engulfing,bearish,Industrials,433,104,0.006873405050823455,0.24018475750577367,A+B,形態+指標,S&P 500
Bear Flag,bearish,Real Estate,483,116,0.0002879438534049665,0.2401656314699793,A+B,形態+指標,S&P 500
Bull Flag,bullish,Real Estate,38,9,0.003235429485639685,0.23684210526315788,A+B+C,形態+指標+成交量,S&P 500
Hammer,bullish,Materials,38,9,-0.010834513457145185,0.23684210526315788,A,形態 alone,S&P 500
Bull Flag,bullish,Real Estate,483,114,-0.0017147031399993946,0.2360248447204969,A+B,形態+指標,S&P 500
Bull Flag,bullish,Consumer Discretionary,34,8,0.0031365600680727445,0.23529411764705882,A+B,形態+指標,HSI
Bear Flag,bearish,Industrials,1210,283,0.004369051945536821,0.23388429752066114,A+B,形態+指標,S&P 500
Bear Flag,bearish,Real Estate,1955,454,-0.0013072663161615421,0.23222506393861891,A,形態 alone,S&P 500
Bullish Engulfing,bullish,Unknown,13,3,-0.010918440613830323,0.23076923076923078,A+B+C+D,完整全因子,HSI
Bullish Engulfing,bullish,Unknown,13,3,-0.010918440613830323,0.23076923076923078,A+B+C,形態+指標+成交量,HSI
Morning Star,bullish,Information Technology,13,3,-0.011845948200979173,0.23076923076923078,A+B+D,形態+指標+Sector,S&P 500
Morning Star,bullish,Unknown,39,9,-0.001418357579922635,0.23076923076923078,A+B,形態+指標,HSI
Hammer,bullish,Consumer Staples,13,3,0.01181048034386169,0.23076923076923078,A+B,形態+指標,S&P 500
Morning Star,bullish,Information Technology,13,3,-0.011845948200979173,0.23076923076923078,A+B,形態+指標,S&P 500
Morning Star,bullish,Unknown,39,9,-0.001418357579922635,0.23076923076923078,A+B+D,形態+指標+Sector,HSI
Evening Star,bearish,Unknown,44,10,0.002132193067324224,0.22727272727272727,A+B,形態+指標,HSI
Evening Star,bearish,Unknown,44,10,0.002132193067324224,0.22727272727272727,A+B+D,形態+指標+Sector,HSI
Bear Flag,bearish,Health Care,49,11,0.018729164816098317,0.22448979591836735,A,形態 alone,HSI
Hammer,bullish,Communication Services,76,17,-0.001571700029526975,0.2236842105263158,A,形態 alone,S&P 500
Bearish Engulfing,bearish,Financials,9,2,0.012647056202203836,0.2222222222222222,A+B+C,形態+指標+成交量,S&P 500
Bearish Engulfing,bearish,Energy,9,2,0.012588809721794113,0.2222222222222222,A+C,形態+成交量,S&P 500
Bearish Engulfing,bearish,Energy,9,2,0.012588809721794113,0.2222222222222222,A+C+D,形態+成交量+Sector,S&P 500
Bearish Engulfing,bearish,Communication Services,9,2,-0.007467337515206254,0.2222222222222222,A+B+C,形態+指標+成交量,S&P 500
Hammer,bullish,Consumer Staples,9,2,-0.005648676092793305,0.2222222222222222,A,形態 alone,HSI
Hammer,bullish,Communication Services,18,4,-0.001965007241418286,0.2222222222222222,A+B,形態+指標,S&P 500
